"n","target_r2","achieved_r2_raw","ss","setting","Estimator","Procedure","ModelSpec","mean_estimate","mean_bias","mean_n_obs","sd_estimate","std_bias"
2000,0.6,0.600000000000005,28.8966426295555,"setting_one","unadj","single_stage","m1",49.9928533489972,-0.00714665100282609,1000.121,2.9245017833598,-0.00244371572740697
2000,0.6,0.600000000000005,28.8966426295555,"setting_one","xgboost","single_stage","m1",49.3738091800838,-0.626190819916249,1000.121,2.39088151570228,-0.261907926345868
2000,0.8,0.800000000000001,11.769511828988,"setting_one","bart","single_stage","m1",49.8962849487512,-0.103715051248762,999.787,0.959621150201878,-0.108079163560477
2000,0.8,0.800000000000001,11.769511828988,"setting_one","correct_model","single_stage","m1",49.978723120807,-0.0212768791930552,999.787,0.759200302912171,-0.0280253829080949
2000,0.8,0.800000000000001,11.769511828988,"setting_one","lm_interact","single_stage","m1",49.9613933223262,-0.0386066776737682,999.787,1.78247186043568,-0.0216590671250943
2000,0.8,0.800000000000001,11.769511828988,"setting_one","lm","single_stage","m1",49.9661467403711,-0.0338532596288705,999.787,1.20019803032738,-0.0282063949227082
2000,0.8,0.800000000000001,11.769511828988,"setting_one","rf","single_stage","m1",48.1585574905796,-1.84144250942044,999.787,1.21726459596764,-1.51277094193036
2000,0.8,0.800000000000001,11.769511828988,"setting_one","super","single_stage","m1",49.8107799590466,-0.189220040953399,999.787,0.961264751667038,-0.196844876112696
2000,0.8,0.800000000000001,11.769511828988,"setting_one","unadj","single_stage","m1",49.8697798665705,-0.130220133429507,999.787,2.31151186912908,-0.0563354811924764
2000,0.8,0.800000000000001,11.769511828988,"setting_one","xgboost","single_stage","m1",49.6482007617283,-0.351799238271713,999.787,1.20735183822636,-0.29138087766406
500,0.2,0.200000000000001,82.9087728388446,"setting_one","bart","single_stage","m1",49.5702556404942,-0.429744359505791,250.201,11.137508350508,-0.0385853232142529
500,0.2,0.200000000000001,82.9087728388446,"setting_one","correct_model","single_stage","m1",50.7254806312006,0.725480631200632,250.201,10.8586879147152,0.0668110767063757
500,0.2,0.200000000000001,82.9087728388446,"setting_one","lm_interact","single_stage","m1",50.4522230810184,0.452223081018357,250.201,12.9599051964337,0.0348940115042507
500,0.2,0.200000000000001,82.9087728388446,"setting_one","lm","single_stage","m1",50.654439503247,0.654439503246998,250.201,10.9040691510347,0.0600179157140524
500,0.2,0.200000000000001,82.9087728388446,"setting_one","rf","single_stage","m1",37.4578838386144,-12.5421161613857,250.201,12.4955562875188,-1.00372611453188
500,0.2,0.200000000000001,82.9087728388446,"setting_one","super","single_stage","m1",49.0581201520111,-0.941879847988944,250.201,11.3473027915557,-0.0830047338377061
500,0.2,0.200000000000001,82.9087728388446,"setting_one","unadj","single_stage","m1",50.5952030908891,0.59520309088914,250.201,11.3785303943243,0.0523093115070493
500,0.2,0.200000000000001,82.9087728388446,"setting_one","xgboost","single_stage","m1",44.8175372646947,-5.18246273530528,250.201,13.5395057379989,-0.382766020827525
500,0.4,0.400000000000006,48.1227242770227,"setting_one","bart","single_stage","m1",49.2780819105566,-0.721918089443421,250.45,6.53524178684218,-0.110465398678424
500,0.4,0.400000000000006,48.1227242770227,"setting_one","correct_model","single_stage","m1",50.1410613200714,0.141061320071387,250.45,6.17161615186867,0.0228564636231752
500,0.4,0.400000000000006,48.1227242770227,"setting_one","lm_interact","single_stage","m1",50.091929096999,0.0919290969989509,250.45,7.61108387656218,0.0120783187374981
500,0.4,0.400000000000006,48.1227242770227,"setting_one","lm","single_stage","m1",50.1484354094926,0.148435409492598,250.45,6.41793188160231,0.0231282307495509
500,0.4,0.400000000000006,48.1227242770227,"setting_one","rf","single_stage","m1",41.2010513589863,-8.79894864101368,250.45,7.83950363372616,-1.12238593820659
500,0.4,0.400000000000006,48.1227242770227,"setting_one","super","single_stage","m1",48.7300899681327,-1.26991003186728,250.45,6.71226805451854,-0.189192389450599
500,0.4,0.400000000000006,48.1227242770227,"setting_one","unadj","single_stage","m1",50.164636821743,0.164636821743034,250.45,7.6593028495747,0.0214950139688204
500,0.4,0.400000000000006,48.1227242770227,"setting_one","xgboost","single_stage","m1",46.4838949663316,-3.5161050336684,250.45,8.18797237023462,-0.429423167871248
500,0.6,0.600000000000006,29.2182348751018,"setting_one","bart","single_stage","m1",49.3517738301818,-0.648226169818228,250.502,4.17042787581697,-0.155433972033683
