"replicate","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95","Estimator"
50,54.3420205731423,4.34202057314228,3.33266375283231,-0.298310127289135,54.6403307004314,47.8101196450088,60.8739215012757,48.108429772298,61.1722316285648,1,1,0,1,1.42619395256042,1.43149900436401,1,"lm"
51,51.783514690201,1.78351469020096,3.14822879714113,0.184611101596907,51.598903588604,45.6130996327125,57.9539297476894,45.4284885311156,57.7693186460925,1,1,0,1,1.409588098526,1.41477394104004,1,"lm"
52,52.4781791962756,2.47817919627557,3.20451387237071,-0.505452527640976,52.9836317239165,46.19744741847,58.7589109740811,46.702899946111,59.2643635017221,1,1,0,1,1.52503800392151,1.53035497665405,1,"lm"
53,48.570828438728,-1.42917156127201,3.3539544467772,0.436250844746617,48.1345775939814,41.9971985172567,55.1444583601993,41.5609476725101,54.7082075154526,1,1,0,1,1.40421080589294,1.40944600105286,1,"lm"
54,46.9119447415544,-3.08805525844562,3.1817907405816,0.327197995551295,46.5847467460031,40.6757494836714,53.1481399994373,40.3485514881201,52.820942003886,1,1,0,1,1.41065502166748,1.41587209701538,1,"lm"
55,47.5066770789483,-2.49332292105166,3.25611552120034,-0.614859721423727,48.1215368003721,41.1248079278938,53.8885462300029,41.7396676493175,54.5034059514266,1,1,0,1,1.40975213050842,1.41503500938416,1,"lm"
56,46.5891052066199,-3.41089479338014,3.15767336656457,0.333384238641926,46.2557209679779,40.400179133212,52.7780312800278,40.06679489457,52.4446470413858,1,1,0,1,1.41840600967407,1.42368602752686,1,"lm"
57,56.4481639525863,6.44816395258632,3.32446637446536,0.0657742558126841,56.3823896967736,49.9323295908198,62.9639983143529,49.8665553350071,62.8982240585402,1,1,0,1,1.40780401229858,1.4131190776825,1,"lm"
58,52.4503574042728,2.45035740427275,2.91013156078016,0.116427420983811,52.3339299832889,46.7466043548703,58.1541104536752,46.6301769338865,58.0376830326914,1,1,0,1,1.40343308448792,1.40861511230469,1,"lm"
59,53.8794259211392,3.87942592113917,3.22853979260019,-0.119898556646142,53.9993244777853,47.5516042049884,60.20724763729,47.6715027616345,60.3271461939361,1,1,0,1,1.4117329120636,1.41703391075134,1,"lm"
60,52.0410942555983,2.04109425559825,3.39659427640003,-0.153988927557485,52.1950831831557,45.3838918037593,58.6982967074372,45.5378807313168,58.8522856349947,1,1,0,1,1.39926505088806,1.40453481674194,1,"lm"
61,54.7373752472743,4.73737524727426,3.40107051409525,0.199181714752811,54.5381935325214,48.0713995307664,61.4033509637821,47.8722178160136,61.2041692490293,1,1,0,1,1.48691511154175,1.49211287498474,1,"lm"
62,56.2334395003241,6.23343950032412,3.30202878201775,-0.604686732568695,56.8381262328928,49.7615820116547,62.7052969889936,50.3662687442234,63.3099837215623,1,0,0,1,1.45266103744507,1.45786094665527,1,"lm"
63,50.4543400360797,0.454340036079721,2.91169360131396,0.248135674374673,50.206204361705,44.7475254434886,56.1611546286708,44.499389769114,55.9130189542961,1,1,0,1,1.40511584281921,1.41098213195801,1,"lm"
64,49.7291227668147,-0.27087723318531,3.28737684259396,0.556234867530158,49.1728878992845,43.2859825517195,56.1722629819099,42.7297476841894,55.6160281143797,1,1,0,1,1.41584515571594,1.42119407653809,1,"lm"
65,53.5550435947898,3.55504359478982,3.22487098616732,0.344228657464292,53.2108149373255,47.2344126071137,59.8756745824659,46.8901839496494,59.5314459250016,1,1,0,1,1.40595197677612,1.41127610206604,1,"lm"
66,44.9879245535367,-5.01207544646328,3.10386106516653,0.320802783582963,44.6671217699538,38.9044686527942,51.0713804542792,38.5836658692112,50.7505776706963,1,1,0,1,1.41752886772156,1.42282390594482,1,"lm"
67,48.5074900038262,-1.49250999617378,3.18869228878199,-0.174909660970854,48.6823996647971,42.2577679600329,54.7572120476195,42.4326776210038,54.9321217085904,1,1,0,1,1.41229391098022,1.4175078868866,1,"lm"
68,46.3760627389783,-3.62393726102174,2.83342332837845,0.0071112385507135,46.3689515004275,40.8226550624009,51.9294704155556,40.8155438238502,51.9223591770049,1,1,0,1,1.41808891296387,1.42322087287903,1,"lm"
