"replicate","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95","Estimator"
359,46.0800920036283,-3.91990799637173,4.32726025970743,-0.324440227641063,46.4045322312693,37.5988177428703,54.5613662643863,37.9232579705113,54.8858064920273,1,1,0,1,630.539057970047,633.031031847,1,"bart"
360,51.3666064788125,1.36660647881246,5.44860335618391,0.290641323886064,51.0759651549264,40.6875401346479,62.045672822977,40.3968988107619,61.7550314990909,1,1,0,1,620.38701415062,622.805663108826,1,"bart"
361,45.5922952399848,-4.40770476001523,5.11346022557823,-0.646253765546824,46.2385490055316,35.5700973614734,55.6144931184962,36.2163511270202,56.260746884043,1,1,0,1,637.794014930725,640.204615831375,1,"bart"
362,53.4349761423683,3.43497614236831,4.83526898799564,-0.222302677984715,53.657278820353,43.9580230703334,62.9119292144032,44.1803257483181,63.1342318923879,1,1,0,1,615.711926937103,618.101026773453,1,"bart"
363,48.6856278147034,-1.31437218529661,5.01613483755579,0.445482928643962,48.2401448860594,38.8541841914974,58.5170714379094,38.4087012628534,58.0715885092655,1,1,0,1,623.969413042068,626.394810914993,1,"bart"
364,53.1734232921859,3.17342329218592,4.98187814693469,0.682839757827281,52.4905835343586,43.4091215488268,62.937725035545,42.7262817909995,62.2548852777178,1,1,0,1,623.361107110977,625.795427083969,1,"bart"
365,54.2273899289434,4.22738992894344,5.12527176924619,1.54319974292847,52.684190186015,44.182041850241,64.2727380076458,42.6388421073126,62.7295382647174,1,1,0,1,617.101155996323,619.510767221451,1,"bart"
366,45.4478146691262,-4.55218533087379,4.99754981361292,1.02034364480674,44.4274710243195,35.6527970235,55.2428323147524,34.6324533786933,54.2224886699457,1,1,0,1,618.628399848938,621.039437055588,1,"bart"
367,52.5874275262445,2.58742752624448,5.07381854743338,-1.05638930785755,53.643816834102,42.6429259091837,62.5319291433052,43.6993152170413,63.5883184511628,1,1,0,1,621.301417827606,623.720720052719,1,"bart"
368,44.8338311446786,-5.16616885532138,4.76817343361817,0.144585845788654,44.68924529889,35.4883829427463,54.1792793466109,35.3437970969577,54.0346935008223,1,1,0,1,613.866100072861,616.213847160339,1,"bart"
369,46.5397590409135,-3.46024095908653,4.83847761890121,0.440571649212735,46.0991873917007,37.056517167864,56.023000913963,36.6159455186512,55.5824292647502,1,1,0,1,615.07855296135,617.493126869202,1,"bart"
370,44.9495812533762,-5.05041874662381,6.09777293361213,-0.580676239109003,45.5302574924852,32.9981659175933,56.9009965891591,33.5788421567023,57.4816728282681,1,1,0,1,605.074882984161,607.440140962601,1,"bart"
371,55.232383711337,5.232383711337,4.69378341687281,0.0699440372165512,55.1624396741204,46.0327372630349,64.432030159639,45.9627932258184,64.3620861224225,1,1,0,1,608.942093133926,611.342529058456,1,"bart"
372,50.6450242567692,0.645024256769162,4.89120163563033,1.74508029939563,48.8999439573735,41.0584452098103,60.231603303728,39.3133649104147,58.4865230043324,1,1,0,1,612.718065977097,615.079082965851,1,"bart"
373,55.6311099397314,5.6311099397314,5.68861618925091,0.633765970118439,54.997343969613,44.4816270869281,66.7805927925347,43.8478611168097,66.1468268224162,1,1,0,1,611.493402004242,613.887917995453,1,"bart"
374,45.3123609192515,-4.68763908074852,5.32496887364403,-0.736749864684221,46.0491107839357,34.8756137081124,55.7491081303906,35.6123635727966,56.4858579950748,1,1,0,1,614.729110002518,617.217781066895,1,"bart"
375,47.3352283837782,-2.66477161622184,4.58807360059649,-0.656989792533203,47.9922181763114,38.34276936819,56.3276873993663,38.9997591607232,56.9846771918995,1,1,0,1,598.896636009216,601.411953210831,1,"bart"
376,55.9206551088122,5.9206551088122,5.84356631161357,-0.0426160303351537,55.9632711391474,44.4674755967781,67.3738346208464,44.5100916271132,67.4164506511815,1,1,0,1,602.275197029114,604.669808864594,1,"bart"
377,44.2730847448212,-5.72691525517882,4.2300234009665,0.359200258218578,43.9138844866026,35.9823912251652,52.5637782644771,35.6231909669466,52.2045780062586,1,1,0,1,605.189105033875,607.596219062805,1,"bart"
378,47.2627060396345,-2.73729396036549,4.59618095607565,-0.133649568960529,47.396355608595,38.2543568992974,56.2710551799717,38.3880064682579,56.4047047489322,1,1,0,1,601.363442897797,603.721637964249,1,"bart"
379,52.1245674309733,2.12456743097326,5.89595094940307,0.502039522936322,51.6225279080369,40.5687159155285,63.680418946418,40.0666763925922,63.1783794234817,1,1,0,1,609.621652841568,612.004554033279,1,"bart"
380,54.1085332002695,4.10853320026951,5.10403775143056,-1.26630100820808,55.3748342084776,44.1048030317328,64.1122633688062,45.3711040399409,65.3785643770143,1,1,0,1,599.791381120682,602.126359939575,1,"bart"
381,47.9266230621966,-2.07337693780342,4.77278998262037,1.3178645038828,46.6087585583138,38.5721265904871,57.2811195339061,37.2542620866043,55.9632550300233,1,1,0,1,596.708333015442,599.055989027023,1,"bart"
382,42.7060754746292,-7.2939245253708,4.68480712988598,0.551434616609761,42.1546408580194,33.5240222255362,51.8881287237222,32.9725876089264,51.3366941071124,1,1,0,1,605.301800966263,607.702016115189,1,"bart"
383,53.8630639095691,3.86306390956914,5.13926663953945,-0.310225944140491,54.1732898537096,43.7902863891236,63.9358414300147,44.1005123332641,64.2460673741551,1,1,0,1,612.322443008423,614.7224650383,1,"bart"
384,48.4929790058256,-1.50702099417443,4.60125243182602,0.0208943865548648,48.4720846192707,39.4746899556692,57.5112680559819,39.4537955691144,57.490373669427,1,1,0,1,605.822634935379,608.185925960541,1,"bart"
385,50.2430433822691,0.243043382269072,5.18014177394128,-0.648431438752013,50.8914748210211,40.0901520705327,60.3959346940054,40.7385835092847,61.0443661327574,1,1,0,1,596.823632955551,599.173391103745,1,"bart"
386,53.1534486609287,3.15344866092866,5.42042328064649,0.447026163806598,52.7064224971221,42.5296142498991,63.7772830719582,42.0825880860925,63.3302569081516,1,1,0,1,613.111840963364,615.535116910934,1,"bart"
387,52.2782185890537,2.27821858905374,5.06997909527942,-1.65693967638995,53.9351582654437,42.3412421599351,62.2151950181724,43.9981818363251,63.8721346945623,1,1,0,1,621.828568220139,624.255664110184,1,"bart"
388,50.6154645167664,0.615464516766387,5.08941035267284,0.731256255401185,49.8842082613652,40.6404035229823,60.5905255105504,39.9091472675811,59.8592692551493,1,1,0,1,604.380383014679,606.731142044067,1,"bart"
389,48.5349228192975,-1.46507718070249,4.91553686010301,-0.813373112912629,49.3482959322101,38.9006476088165,58.1691980297785,39.7140207217291,58.9825711426911,1,1,0,1,600.833230018616,603.1775598526,1,"bart"
390,48.9359743462116,-1.06402565378841,5.22719281391822,-0.736960782040796,49.6729351282524,38.6908646906853,59.1810840017379,39.4278254727261,59.9180447837787,1,1,0,1,602.082544803619,604.433662891388,1,"bart"
391,48.415551359432,-1.58444864056801,4.8129518782977,0.862979936779887,47.5525714226521,38.9823390186441,57.8487637002199,38.1193590818642,56.98578376344,1,1,0,1,612.530068874359,614.917698144913,1,"bart"
392,46.8315803055442,-3.16841969445577,5.09293540752117,-1.22648868691164,48.0580689924559,36.8496103312139,56.8135502798745,38.0760990181256,58.0400389667862,1,1,0,1,609.696079969406,612.035886049271,1,"bart"
393,54.5987584565116,4.59875845651163,4.9982231007818,-0.120765102590425,54.7195235591021,44.8024211922832,64.3950957207401,44.9231862948736,64.5158608233305,1,1,0,1,602.499441862106,604.836127996445,1,"bart"
394,48.1389136167093,-1.86108638329073,5.06990606114542,-0.0350627819347693,48.173976398644,38.2020803318629,58.0757469015556,38.2371431137977,58.1108096834904,1,1,0,1,608.02597117424,610.393642187119,1,"bart"
395,43.3247205000879,-6.67527949991211,4.84470550331911,-0.525164410227696,43.8498849103156,33.8292721978794,52.8201688022963,34.3544366081071,53.345333212524,1,1,0,1,612.802940130234,615.18768286705,1,"bart"
396,46.4551019604704,-3.54489803952961,4.91783953718938,-0.163068480039549,46.6181704405099,36.8163135858321,56.0938903351087,36.9793820658716,56.2569588151483,1,1,0,1,627.69856095314,630.151252985001,1,"bart"
397,45.7169193427651,-4.28308065723491,5.33456666405436,0.0485872827330809,45.668332060032,35.2613608080906,56.1724778774396,35.2127735253575,56.1238905947065,1,1,0,1,628.458646774292,630.927483081818,1,"bart"
398,48.245905527416,-1.75409447258399,5.12082695268888,-1.30837363027036,49.5542791576864,38.2092691290838,58.2825419257482,39.5176427593542,59.5909155560186,1,1,0,1,626.340331077576,628.798611879349,1,"bart"
399,50.3943230040464,0.394323004046427,4.37099776760584,0.171678767836383,50.22264423621,41.827324803034,58.9613212050588,41.6556460351976,58.7896424372225,1,1,0,1,605.480358123779,607.816003084183,1,"bart"
400,49.0883065479653,-0.911693452034697,4.95613402088098,0.0870000005122193,49.0013065474531,39.3744623644849,58.8021507314457,39.2874623639727,58.7151507309335,1,1,0,1,618.381815910339,620.782552957535,1,"bart"
401,60.9491848966614,10.9491848966614,5.64923347049211,2.18452185174674,58.7646630449147,49.8768907542386,72.0214790390841,47.6923689024919,69.8369571873374,1,1,0,1,617.923895120621,620.296895027161,0,"bart"
402,47.5560318979889,-2.44396810201109,5.03997285511324,-0.468230921836671,48.0242628198256,37.6778666189074,57.4341971770704,38.1460975407441,57.902428098907,1,1,0,1,626.564785957336,628.985325098038,1,"bart"
403,52.6718009642274,2.67180096422742,5.38001368709756,-1.24053645538682,53.9123374196142,42.1271679011837,63.2164340272712,43.3677043565705,64.456970482658,1,1,0,1,618.862538099289,621.674508094788,1,"bart"
404,47.1699058113212,-2.83009418867884,4.99032704732066,-0.569847263755328,47.7397530750765,37.3890445274966,56.9507670951458,37.9588917912519,57.5206143589011,1,1,0,1,630.962126970291,633.491697072983,1,"bart"
405,46.5556696676329,-3.44433033236712,4.71111338530836,-0.583575125776967,47.1392447934099,37.3220571053439,55.7892822299218,37.9056322311209,56.3728573556988,1,1,0,1,616.399846076965,618.805721998215,1,"bart"
406,44.5477808732254,-5.45221912677461,5.09137444550108,-0.0817526720366217,44.629533545262,34.5688703282357,54.5266914182151,34.6506230002723,54.6084440902517,1,1,0,1,604.067786931992,606.420821905136,1,"bart"
407,52.1764200879594,2.17642008795936,6.0654506266183,0.504340106074849,51.6720799818845,40.2883553097816,64.0644848661371,39.7840152037068,63.5601447600623,1,1,0,1,592.618807792664,594.995521068573,1,"bart"
